 !, doc.freq 3, pointer: 0
 $, doc.freq 2, pointer: 25
 6,881,800, doc.freq 1, pointer: 426742
 6,886,414, doc.freq 1, pointer: 426748
 6,891, doc.freq 1, pointer: 426755
 6,897,000, doc.freq 1, pointer: 426762
 6,900,000, doc.freq 1, pointer: 426769
 6,901,000, doc.freq 1, pointer: 426776
 6,935,000, doc.freq 1, pointer: 426783
 6,946,000, doc.freq 1, pointer: 426789
 6,950,000, doc.freq 1, pointer: 426796
 6,951,000, doc.freq 2, pointer: 426803
 6,957,300, doc.freq 1, pointer: 426820
 6,959,000, doc.freq 1, pointer: 426827
 6,960,700, doc.freq 1, pointer: 426834
 6,964,000, doc.freq 2, pointer: 426841
 6,968,700, doc.freq 1, pointer: 426858
 6,969,000, doc.freq 1, pointer: 426866
 6,969,389, doc.freq 1, pointer: 426873
 6,974,000, doc.freq 1, pointer: 426880
 6,974,554, doc.freq 1, pointer: 426887
 6,979,000, doc.freq 1, pointer: 426895
 6,983,000, doc.freq 1, pointer: 426902
 6-1/16, doc.freq 7, pointer: 426909
 6-1/2, doc.freq 8, pointer: 426960
 6-1/2-year-old, doc.freq 2, pointer: 427022
 6-1/4, doc.freq 15, pointer: 427039
 6-1/8, doc.freq 14, pointer: 427139
 6-11/16, doc.freq 1, pointer: 427236
 6-12/4, doc.freq 1, pointer: 427244
 6-15/16, doc.freq 1, pointer: 427252
 6-20, doc.freq 1, pointer: 427258
 6-3/16, doc.freq 9, pointer: 427265
 6-3/4, doc.freq 4, pointer: 427334
 6-3/8, doc.freq 4, pointer: 427364
 6-5/16, doc.freq 2, pointer: 427395
 6-5/8, doc.freq 1, pointer: 427412
 6-7/8, doc.freq 2, pointer: 427418
 6-8, doc.freq 1, pointer: 427434
 6-billion-canadian-dlr, doc.freq 1, pointer: 427442
 6-mar-1987, doc.freq 2, pointer: 427450
 6-mo, doc.freq 1, pointer: 427467
 6.0, doc.freq 21, pointer: 427474
 6.0-mln, doc.freq 1, pointer: 427618
 6.00, doc.freq 3, pointer: 427626
 6.000, doc.freq 1, pointer: 427651
 6.01, doc.freq 1, pointer: 427658
 6.02, doc.freq 2, pointer: 427665
 6.03, doc.freq 1, pointer: 427679
 6.05, doc.freq 4, pointer: 427686
 6.06, doc.freq 2, pointer: 427711
 6.0615/35, doc.freq 1, pointer: 427728
 6.0650/0700, doc.freq 1, pointer: 427736
 6.07, doc.freq 3, pointer: 427744
 6.0700/50, doc.freq 1, pointer: 427769
 6.08, doc.freq 1, pointer: 427777
 6.0800/30, doc.freq 1, pointer: 427785
 6.09, doc.freq 4, pointer: 427793
 6.09425, doc.freq 1, pointer: 427820
 6.0950/70, doc.freq 1, pointer: 427827
 6.0p, doc.freq 1, pointer: 427834
 6.1, doc.freq 19, pointer: 427841
 6.10, doc.freq 6, pointer: 427966
 6.12, doc.freq 2, pointer: 428011
 6.125, doc.freq 1, pointer: 428028
 6.13, doc.freq 1, pointer: 428036
 6.14, doc.freq 4, pointer: 428040
 6.15, doc.freq 3, pointer: 428071
 6.16, doc.freq 3, pointer: 428096
 6.17, doc.freq 1, pointer: 428118
 6.18, doc.freq 1, pointer: 428125
 6.19, doc.freq 3, pointer: 428132
 6.1p, doc.freq 1, pointer: 428154
 6.2, doc.freq 30, pointer: 428161
 6.20, doc.freq 9, pointer: 428354
 6.21, doc.freq 3, pointer: 428422
 6.21950, doc.freq 1, pointer: 428446
 6.22, doc.freq 3, pointer: 428453
 6.23, doc.freq 1, pointer: 428478
 6.24, doc.freq 1, pointer: 428485
 6.25, doc.freq 7, pointer: 428492
 6.26, doc.freq 1, pointer: 428549
 6.27, doc.freq 1, pointer: 428556
 6.28, doc.freq 3, pointer: 428563
 6.29, doc.freq 2, pointer: 428584
 6.2p, doc.freq 1, pointer: 428603
 6.3, doc.freq 25, pointer: 428610
 6.30, doc.freq 2, pointer: 428772
 6.31, doc.freq 1, pointer: 428792
 6.32, doc.freq 1, pointer: 428799
 6.33, doc.freq 1, pointer: 428806
 6.35, doc.freq 2, pointer: 428813
 6.36, doc.freq 2, pointer: 428830
 6.38, doc.freq 1, pointer: 428849
 6.4, doc.freq 22, pointer: 428856
 6.40, doc.freq 2, pointer: 428990
 6.41, doc.freq 1, pointer: 429007
 6.43, doc.freq 1, pointer: 429014
 6.44, doc.freq 2, pointer: 429021
 6.45, doc.freq 2, pointer: 429038
 6.47, doc.freq 1, pointer: 429057
 6.48, doc.freq 1, pointer: 429064
 6.49, doc.freq 1, pointer: 429070
 6.5, doc.freq 51, pointer: 429077
 6.50, doc.freq 10, pointer: 429383
 6.52, doc.freq 3, pointer: 429457
 6.53, doc.freq 2, pointer: 429481
 6.54, doc.freq 2, pointer: 429500
 6.56p, doc.freq 1, pointer: 429516
 6.57, doc.freq 2, pointer: 429523
 6.59, doc.freq 2, pointer: 429540
 6.5p, doc.freq 5, pointer: 429559
 6.6, doc.freq 30, pointer: 429595
 6.60, doc.freq 3, pointer: 429790
 6.62, doc.freq 2, pointer: 429814
 6.63, doc.freq 2, pointer: 429830
 6.64, doc.freq 1, pointer: 429850
 6.65, doc.freq 2, pointer: 429857
 6.66, doc.freq 1, pointer: 429876
 6.67, doc.freq 4, pointer: 429884
 6.68, doc.freq 2, pointer: 429912
 6.69, doc.freq 1, pointer: 429931
 6.7, doc.freq 33, pointer: 429938
 6.70, doc.freq 4, pointer: 430140
 6.706, doc.freq 1, pointer: 430168
 6.71, doc.freq 2, pointer: 430175
 6.72, doc.freq 2, pointer: 430192
 6.726, doc.freq 1, pointer: 430209
 6.73, doc.freq 4, pointer: 430216
 6.745, doc.freq 1, pointer: 430243
 6.75, doc.freq 3, pointer: 430249
 6.76, doc.freq 2, pointer: 430271
 6.77, doc.freq 2, pointer: 430288
 6.78, doc.freq 2, pointer: 430305
 6.8, doc.freq 20, pointer: 430321
 6.80, doc.freq 2, pointer: 430449
 6.81, doc.freq 2, pointer: 430468
 6.84, doc.freq 5, pointer: 430485
 6.85, doc.freq 3, pointer: 430522
 6.87, doc.freq 1, pointer: 430546
 6.88, doc.freq 2, pointer: 430554
 6.89, doc.freq 1, pointer: 430571
 6.9, doc.freq 21, pointer: 430578
 6.91, doc.freq 1, pointer: 430717
 6.92, doc.freq 1, pointer: 430723
 6.93, doc.freq 5, pointer: 430730
 6.94, doc.freq 4, pointer: 430767
 6.95, doc.freq 4, pointer: 430797
 6.96, doc.freq 2, pointer: 430827
 6.97, doc.freq 2, pointer: 430847
 6.99, doc.freq 1, pointer: 430864
 6/100, doc.freq 2, pointer: 430870
 60, doc.freq 178, pointer: 430887
 60,000, doc.freq 21, pointer: 431883
 60,000-tonner, doc.freq 1, pointer: 432022
 60,200, doc.freq 1, pointer: 432030
 60,260, doc.freq 1, pointer: 432037
 60,296, doc.freq 1, pointer: 432044
 60,480,375, doc.freq 1, pointer: 432051
 60,500, doc.freq 9, pointer: 432058
 60,700, doc.freq 1, pointer: 432127
 60,780,000, doc.freq 1, pointer: 432133
 60,840, doc.freq 1, pointer: 432140
 60-90, doc.freq 1, pointer: 432147
 60-day, doc.freq 2, pointer: 432153
 60-kg, doc.freq 3, pointer: 432172
 60-kilo, doc.freq 8, pointer: 432196
 60-mln-dlr, doc.freq 1, pointer: 432255
 60-month, doc.freq 1, pointer: 432262
 60.0, doc.freq 5, pointer: 432269
 60.1, doc.freq 4, pointer: 432308
 60.2, doc.freq 1, pointer: 432334
 60.22, doc.freq 1, pointer: 432341
 60.30, doc.freq 1, pointer: 432349
 60.31, doc.freq 1, pointer: 432356
 60.4, doc.freq 4, pointer: 432364
 60.5, doc.freq 1, pointer: 432394
 60.50, doc.freq 4, pointer: 432401
 60.6, doc.freq 6, pointer: 432428
 60.61, doc.freq 1, pointer: 432473
 60.7, doc.freq 5, pointer: 432479
 60.8, doc.freq 5, pointer: 432521
 60.9, doc.freq 1, pointer: 432560
 600, doc.freq 55, pointer: 432567
 600,000, doc.freq 31, pointer: 432907
 600,971, doc.freq 2, pointer: 433103
 600-room, doc.freq 1, pointer: 433117
 600.0, doc.freq 1, pointer: 433125
 601,000, doc.freq 1, pointer: 433132
 602, doc.freq 1, pointer: 433139
 602,000, doc.freq 1, pointer: 433146
 602,766, doc.freq 1, pointer: 433153
 603, doc.freq 3, pointer: 433160
 603,106, doc.freq 1, pointer: 433185
 603,335, doc.freq 1, pointer: 433193
 603,413, doc.freq 1, pointer: 433200
 603,430, doc.freq 1, pointer: 433208
 603.0, doc.freq 3, pointer: 433216
 604, doc.freq 2, pointer: 433242
 604,000, doc.freq 1, pointer: 433259
 604,000-share, doc.freq 1, pointer: 433266
 604,200, doc.freq 1, pointer: 433273
 604,996, doc.freq 1, pointer: 433281
 605,000, doc.freq 1, pointer: 433288
 605,321, doc.freq 1, pointer: 433295
 605,667, doc.freq 1, pointer: 433301
 605,682, doc.freq 1, pointer: 433308
 605,725, doc.freq 1, pointer: 433315
 606, doc.freq 1, pointer: 433322
 606,000, doc.freq 5, pointer: 433330
 606,352, doc.freq 1, pointer: 433368
 606.7, doc.freq 1, pointer: 433376
 607, doc.freq 1, pointer: 433383
 607,000, doc.freq 1, pointer: 433390
 607.1, doc.freq 1, pointer: 433397
 607.17, doc.freq 1, pointer: 433404
 608, doc.freq 1, pointer: 433410
 608,000, doc.freq 1, pointer: 433417
 608,181, doc.freq 2, pointer: 433424
 608,800, doc.freq 1, pointer: 433441
 608.3, doc.freq 1, pointer: 433449
 609,457, doc.freq 1, pointer: 433457
 609,831, doc.freq 1, pointer: 433464
 609.5, doc.freq 1, pointer: 433471
 60p, doc.freq 1, pointer: 433478
 60th, doc.freq 1, pointer: 433486
 61, doc.freq 37, pointer: 433494
 61,000, doc.freq 4, pointer: 433728
 61,384,000, doc.freq 1, pointer: 433756
 61,398, doc.freq 1, pointer: 433763
 61,500, doc.freq 1, pointer: 433770
 61,600, doc.freq 1, pointer: 433778
 61,762, doc.freq 1, pointer: 433784
 61,763, doc.freq 2, pointer: 433791
 61,805,000, doc.freq 1, pointer: 433810
 61,901, doc.freq 1, pointer: 433817
 61-1/2, doc.freq 1, pointer: 433824
 61.0, doc.freq 2, pointer: 433832
 61.11, doc.freq 1, pointer: 433849
 61.2, doc.freq 1, pointer: 433854
 61.3, doc.freq 2, pointer: 433861
 61.4, doc.freq 3, pointer: 433880
 61.47, doc.freq 1, pointer: 433904
 61.48, doc.freq 1, pointer: 433912
 61.5, doc.freq 7, pointer: 433920
 61.50, doc.freq 1, pointer: 433972
 61.6, doc.freq 1, pointer: 433980
 61.60, doc.freq 1, pointer: 433987
 61.7, doc.freq 5, pointer: 433994
 61.8, doc.freq 6, pointer: 434030
 61.9, doc.freq 3, pointer: 434069
 61.92, doc.freq 1, pointer: 434093
 61/2und, doc.freq 1, pointer: 434101
 610, doc.freq 2, pointer: 434109
 610,000, doc.freq 4, pointer: 434126
 610.9, doc.freq 1, pointer: 434154
 611, doc.freq 2, pointer: 434161
 611,000, doc.freq 1, pointer: 434177
 611,784, doc.freq 1, pointer: 434185
 611,811, doc.freq 1, pointer: 434193
 611.7, doc.freq 1, pointer: 434201
 611p, doc.freq 1, pointer: 434208
 612,000, doc.freq 3, pointer: 434215
 612.4, doc.freq 1, pointer: 434240
 613,127, doc.freq 1, pointer: 434247
 613,205, doc.freq 1, pointer: 434254
 613,986, doc.freq 1, pointer: 434262
 613.50, doc.freq 1, pointer: 434269
 614, doc.freq 7, pointer: 434277
 614,000, doc.freq 1, pointer: 434330
 614,511, doc.freq 1, pointer: 434337
 615, doc.freq 4, pointer: 434345
 615,000, doc.freq 3, pointer: 434375
 615,307, doc.freq 1, pointer: 434397
 615,345, doc.freq 1, pointer: 434404
 615,385, doc.freq 1, pointer: 434411
 615.04, doc.freq 1, pointer: 434418
 615.59, doc.freq 1, pointer: 434425
 616, doc.freq 3, pointer: 434433
 616,000, doc.freq 1, pointer: 434455
 616.0, doc.freq 1, pointer: 434462
 617, doc.freq 2, pointer: 434470
 617,000, doc.freq 4, pointer: 434490
 617.8238, doc.freq 2, pointer: 434518
 618, doc.freq 3, pointer: 434536
 619, doc.freq 1, pointer: 434558
 619,000, doc.freq 3, pointer: 434565
 619,860, doc.freq 1, pointer: 434587
 62, doc.freq 30, pointer: 434595
 62,000, doc.freq 4, pointer: 434789
 62,004, doc.freq 1, pointer: 434816
 62,075, doc.freq 1, pointer: 434824
 62,174, doc.freq 1, pointer: 434832
 62,216, doc.freq 1, pointer: 434839
 62,408, doc.freq 1, pointer: 434846
 62,485,000, doc.freq 1, pointer: 434853
 62,986, doc.freq 1, pointer: 434860
 62-1/2, doc.freq 1, pointer: 434867
 62-3/4, doc.freq 1, pointer: 434874
 62.02, doc.freq 1, pointer: 434881
 62.08, doc.freq 1, pointer: 434888
 62.1, doc.freq 4, pointer: 434896
 62.2, doc.freq 1, pointer: 434923
 62.3, doc.freq 1, pointer: 434929
 62.4, doc.freq 2, pointer: 434937
 62.5, doc.freq 9, pointer: 434954
 62.6, doc.freq 2, pointer: 435023
 62.7, doc.freq 2, pointer: 435040
 62.8, doc.freq 4, pointer: 435057
 62.84, doc.freq 1, pointer: 435084
 62.9, doc.freq 3, pointer: 435090
 62.94, doc.freq 1, pointer: 435111
 620, doc.freq 4, pointer: 435116
 620,000, doc.freq 3, pointer: 435144
 620,607, doc.freq 1, pointer: 435166
 621, doc.freq 2, pointer: 435173
 621,036, doc.freq 1, pointer: 435190
 621.2, doc.freq 1, pointer: 435198
 621.7, doc.freq 1, pointer: 435204
 621.8, doc.freq 1, pointer: 435211
 622, doc.freq 2, pointer: 435218
 622,000, doc.freq 2, pointer: 435234
 622,130, doc.freq 1, pointer: 435251
 622,470, doc.freq 1, pointer: 435259
 623, doc.freq 1, pointer: 435267
 623,000, doc.freq 2, pointer: 435275
 623,300, doc.freq 1, pointer: 435292
 624,000, doc.freq 2, pointer: 435299
 625, doc.freq 4, pointer: 435316
 625,000, doc.freq 3, pointer: 435344
 626, doc.freq 2, pointer: 435366
 626,000, doc.freq 2, pointer: 435385
 626,013, doc.freq 1, pointer: 435402
 626,942, doc.freq 1, pointer: 435409
 627, doc.freq 1, pointer: 435416
 627,000, doc.freq 3, pointer: 435424
 627,500, doc.freq 1, pointer: 435446
 627.8, doc.freq 1, pointer: 435452
 628, doc.freq 2, pointer: 435459
 628,000, doc.freq 5, pointer: 435476
 628,193, doc.freq 1, pointer: 435516
 628.5, doc.freq 1, pointer: 435523
 628.8, doc.freq 1, pointer: 435530
 628.9, doc.freq 1, pointer: 435537
 629,000, doc.freq 3, pointer: 435544
 629,527, doc.freq 1, pointer: 435569
 629.0, doc.freq 1, pointer: 435576
 629.7, doc.freq 2, pointer: 435582
 629p, doc.freq 1, pointer: 435599
 63, doc.freq 40, pointer: 435606
 63,000, doc.freq 8, pointer: 435852
 63,111, doc.freq 1, pointer: 435910
 63,293,867, doc.freq 1, pointer: 435918
 63,761, doc.freq 1, pointer: 435926
 63,800, doc.freq 1, pointer: 435933
 63.0, doc.freq 6, pointer: 435939
 63.1, doc.freq 1, pointer: 435982
 63.2, doc.freq 2, pointer: 435989
 63.20, doc.freq 3, pointer: 436006
 63.22, doc.freq 1, pointer: 436028
 63.3, doc.freq 3, pointer: 436036
 63.4, doc.freq 1, pointer: 436059
 63.40, doc.freq 1, pointer: 436065
 63.5, doc.freq 1, pointer: 436072
 63.6, doc.freq 3, pointer: 436079
 63.67, doc.freq 1, pointer: 436101
 63.6p, doc.freq 1, pointer: 436109
 63.7, doc.freq 2, pointer: 436117
 63.8, doc.freq 2, pointer: 436135
 63.9, doc.freq 3, pointer: 436152
 630, doc.freq 8, pointer: 436173
 630,000, doc.freq 1, pointer: 436234
 630,118, doc.freq 1, pointer: 436242
 630.08, doc.freq 1, pointer: 436250
 630.2, doc.freq 1, pointer: 436257
 631,000, doc.freq 1, pointer: 436264
 631,720, doc.freq 1, pointer: 436271
 631-mile, doc.freq 1, pointer: 436278
 631.2, doc.freq 1, pointer: 436286
 631.6, doc.freq 1, pointer: 436293
 632, doc.freq 1, pointer: 436301
 632,000, doc.freq 3, pointer: 436308
 632,100, doc.freq 1, pointer: 436329
 632.5, doc.freq 1, pointer: 436336
 633,000, doc.freq 1, pointer: 436344
 633.5, doc.freq 1, pointer: 436351
 634, doc.freq 1, pointer: 436358
 634,000, doc.freq 1, pointer: 436365
 634,616, doc.freq 1, pointer: 436373
 634.5, doc.freq 1, pointer: 436380
 635, doc.freq 1, pointer: 436387
 635,000, doc.freq 1, pointer: 436395
 635.5, doc.freq 1, pointer: 436402
 635.50, doc.freq 1, pointer: 436409
 636, doc.freq 1, pointer: 436417
 636,000, doc.freq 3, pointer: 436424
 636.0, doc.freq 1, pointer: 436445
 637,000, doc.freq 1, pointer: 436452
 637,800, doc.freq 1, pointer: 436460
 637.4, doc.freq 1, pointer: 436467
 638, doc.freq 1, pointer: 436474
 638,300, doc.freq 1, pointer: 436481
 638.9, doc.freq 1, pointer: 436488
 639, doc.freq 1, pointer: 436495
 639,000, doc.freq 2, pointer: 436502
 639,448, doc.freq 1, pointer: 436521
 639.7, doc.freq 1, pointer: 436529
 64, doc.freq 58, pointer: 436536
 64,000, doc.freq 4, pointer: 436872
 64,013,000, doc.freq 1, pointer: 436901
 64,100, doc.freq 1, pointer: 436908
 64,299, doc.freq 1, pointer: 436916
 64,896, doc.freq 1, pointer: 436922
 64-7/8, doc.freq 1, pointer: 436930
 64.0, doc.freq 1, pointer: 436937
 64.05, doc.freq 1, pointer: 436944
 64.06, doc.freq 2, pointer: 436952
 64.13, doc.freq 1, pointer: 436970
 64.2, doc.freq 2, pointer: 436977
 64.297, doc.freq 1, pointer: 436991
 64.2p, doc.freq 1, pointer: 436998
 64.3, doc.freq 6, pointer: 437006
 64.4, doc.freq 1, pointer: 437054
 64.45, doc.freq 1, pointer: 437061
 64.5, doc.freq 9, pointer: 437068
 64.6, doc.freq 3, pointer: 437137
 64.7, doc.freq 3, pointer: 437161
 64.74, doc.freq 1, pointer: 437185
 64.77, doc.freq 1, pointer: 437193
 64.8, doc.freq 2, pointer: 437201
 64.87, doc.freq 1, pointer: 437218
 64.9, doc.freq 4, pointer: 437225
 640, doc.freq 2, pointer: 437253
 640,000, doc.freq 5, pointer: 437270
 640,030, doc.freq 1, pointer: 437307
 640,862, doc.freq 1, pointer: 437314
 6406/8, doc.freq 1, pointer: 437322
 6407/10, doc.freq 1, pointer: 437329
 641, doc.freq 1, pointer: 437336
 641,000, doc.freq 2, pointer: 437343
 641,823, doc.freq 1, pointer: 437363
 641.4, doc.freq 1, pointer: 437370
 642,000, doc.freq 2, pointer: 437377
 642,590, doc.freq 1, pointer: 437394
 642,800, doc.freq 1, pointer: 437401
 643,000, doc.freq 2, pointer: 437408
 643.3, doc.freq 1, pointer: 437425
 644, doc.freq 4, pointer: 437432
 644,000, doc.freq 2, pointer: 437456
 644,500, doc.freq 1, pointer: 437473
 644,727, doc.freq 1, pointer: 437481
 645, doc.freq 1, pointer: 437488
 645,000, doc.freq 3, pointer: 437496
 645,438, doc.freq 2, pointer: 437520
 645.7, doc.freq 1, pointer: 437540
 646, doc.freq 3, pointer: 437547
 646,000, doc.freq 3, pointer: 437569
 646,250, doc.freq 1, pointer: 437593
 646.7, doc.freq 1, pointer: 437600
 646p, doc.freq 1, pointer: 437606
 647,000, doc.freq 2, pointer: 437614
 647,390, doc.freq 1, pointer: 437631
 648, doc.freq 1, pointer: 437638
 648,000, doc.freq 1, pointer: 437645
 649, doc.freq 1, pointer: 437652
 649,495, doc.freq 1, pointer: 437660
 649,715, doc.freq 1, pointer: 437667
 649,914, doc.freq 1, pointer: 437674
 65, doc.freq 95, pointer: 437680
 65,000, doc.freq 9, pointer: 438227
 65,040, doc.freq 1, pointer: 438300
 65,100, doc.freq 1, pointer: 438308
 65,501, doc.freq 1, pointer: 438315
 65,620,000, doc.freq 1, pointer: 438322
 65,759, doc.freq 1, pointer: 438330
 65,994,142, doc.freq 1, pointer: 438338
 65-1/2, doc.freq 1, pointer: 438346
 65-foot, doc.freq 2, pointer: 438353
 65.0, doc.freq 5, pointer: 438370
 65.02, doc.freq 1, pointer: 438407
 65.06, doc.freq 1, pointer: 438415
 65.13, doc.freq 1, pointer: 438420
 65.16, doc.freq 1, pointer: 438427
 65.2, doc.freq 3, pointer: 438434
 65.3, doc.freq 7, pointer: 438458
 65.33, doc.freq 1, pointer: 438516
 65.4, doc.freq 3, pointer: 438523
 65.44, doc.freq 1, pointer: 438547
 65.50, doc.freq 3, pointer: 438555
 65.53, doc.freq 1, pointer: 438581
 65.6, doc.freq 3, pointer: 438588
 65.63, doc.freq 1, pointer: 438611
 65.7, doc.freq 1, pointer: 438618
 65.75, doc.freq 1, pointer: 438626
 65.8, doc.freq 3, pointer: 438633
 65.89, doc.freq 1, pointer: 438657
 65.9, doc.freq 5, pointer: 438662
 65.94, doc.freq 1, pointer: 438699
 650, doc.freq 16, pointer: 438707
 650,000, doc.freq 5, pointer: 438821
 650,653, doc.freq 1, pointer: 438861
 650.7, doc.freq 1, pointer: 438868
 651, doc.freq 3, pointer: 438876
 651,000, doc.freq 3, pointer: 438900
 651,397, doc.freq 1, pointer: 438922
 651.5, doc.freq 1, pointer: 438929
 652,000, doc.freq 1, pointer: 438937
 652,742, doc.freq 1, pointer: 438944
 652.7, doc.freq 1, pointer: 438951
 653,000, doc.freq 3, pointer: 438959
 653,411, doc.freq 1, pointer: 438984
 653,464, doc.freq 1, pointer: 438991
 653,600, doc.freq 1, pointer: 438998
 653.5, doc.freq 1, pointer: 439004
 654, doc.freq 1, pointer: 439011
 654,083, doc.freq 1, pointer: 439018
 655, doc.freq 1, pointer: 439026
 655,457, doc.freq 1, pointer: 439033
 656,000, doc.freq 3, pointer: 439041
 657, doc.freq 2, pointer: 439065
 657,416, doc.freq 1, pointer: 439082
 657.6, doc.freq 1, pointer: 439089
 657.9, doc.freq 1, pointer: 439097
 658,000, doc.freq 3, pointer: 439104
 658,159, doc.freq 3, pointer: 439126
 658,500, doc.freq 1, pointer: 439148
 658,999, doc.freq 1, pointer: 439155
 659,000, doc.freq 3, pointer: 439161
 659,271, doc.freq 1, pointer: 439184
 659,864, doc.freq 1, pointer: 439192
 659.2, doc.freq 1, pointer: 439199
 659.7, doc.freq 1, pointer: 439206
 66, doc.freq 39, pointer: 439214
 66,000, doc.freq 4, pointer: 439455
 66,087, doc.freq 1, pointer: 439483
 66,172, doc.freq 1, pointer: 439490
 66,922, doc.freq 1, pointer: 439497
 66-2/3, doc.freq 3, pointer: 439504
 66.0, doc.freq 3, pointer: 439528
 66.00, doc.freq 1, pointer: 439550
 66.06, doc.freq 1, pointer: 439558
 66.1, doc.freq 1, pointer: 439566
 66.19, doc.freq 1, pointer: 439573
 66.2, doc.freq 9, pointer: 439578
 66.22, doc.freq 2, pointer: 439639
 66.3, doc.freq 1, pointer: 439659
 66.32, doc.freq 1, pointer: 439666
 66.4, doc.freq 6, pointer: 439672
 66.5, doc.freq 1, pointer: 439717
 66.50, doc.freq 1, pointer: 439724
 66.7, doc.freq 4, pointer: 439732
 66.76, doc.freq 1, pointer: 439759
 66.8, doc.freq 3, pointer: 439766
 66.9, doc.freq 4, pointer: 439787
 660, doc.freq 9, pointer: 439813
 660,000, doc.freq 6, pointer: 439882
 661,400, doc.freq 1, pointer: 439928
 662,000, doc.freq 1, pointer: 439934
 662,625, doc.freq 1, pointer: 439941
 662.6, doc.freq 1, pointer: 439948
 663, doc.freq 2, pointer: 439955
 663,000, doc.freq 1, pointer: 439974
 664, doc.freq 2, pointer: 439982
 665,000, doc.freq 2, pointer: 440001
 665,800, doc.freq 2, pointer: 440020
 665.4, doc.freq 1, pointer: 440034
 665.5, doc.freq 1, pointer: 440041
 666,000, doc.freq 2, pointer: 440048
 666,319, doc.freq 1, pointer: 440065
 666,626, doc.freq 1, pointer: 440072
 666.6, doc.freq 1, pointer: 440079
 666.67, doc.freq 1, pointer: 440086
 667, doc.freq 2, pointer: 440094
 667.18, doc.freq 1, pointer: 440111
 669, doc.freq 1, pointer: 440119
 669,000, doc.freq 1, pointer: 440126
 669,094, doc.freq 1, pointer: 440133
 67, doc.freq 38, pointer: 440141
 67,000, doc.freq 3, pointer: 440378
 67,182, doc.freq 2, pointer: 440403
 67,556,000, doc.freq 1, pointer: 440422
 67,640, doc.freq 1, pointer: 440430
 67,818,000, doc.freq 1, pointer: 440437
 67,878, doc.freq 1, pointer: 440444
 67,967, doc.freq 2, pointer: 440452
 67-1/2, doc.freq 1, pointer: 440469
 67.0, doc.freq 4, pointer: 440477
 67.1, doc.freq 3, pointer: 440507
 67.2, doc.freq 4, pointer: 440529
 67.3, doc.freq 1, pointer: 440559
 67.4, doc.freq 3, pointer: 440566
 67.42, doc.freq 1, pointer: 440590
 67.45/55, doc.freq 1, pointer: 440597
 67.5, doc.freq 4, pointer: 440604
 67.6, doc.freq 7, pointer: 440630
 67.62, doc.freq 1, pointer: 440685
 67.7, doc.freq 4, pointer: 440690
 67.8, doc.freq 1, pointer: 440717
 67.9, doc.freq 2, pointer: 440724
 670,000, doc.freq 3, pointer: 440743
 670,400, doc.freq 1, pointer: 440765
 670.3, doc.freq 1, pointer: 440772
 670p, doc.freq 1, pointer: 440779
 671, doc.freq 2, pointer: 440787
 671,000, doc.freq 1, pointer: 440804
 671,100, doc.freq 1, pointer: 440811
 671,400, doc.freq 1, pointer: 440819
 672,000, doc.freq 1, pointer: 440826
 672,073, doc.freq 1, pointer: 440832
 672,300, doc.freq 1, pointer: 440839
 672,879, doc.freq 1, pointer: 440846
 672.5, doc.freq 1, pointer: 440853
 673, doc.freq 1, pointer: 440861
 673.1, doc.freq 1, pointer: 440868
 673.3, doc.freq 1, pointer: 440875
 673.4, doc.freq 3, pointer: 440883
 674.1, doc.freq 1, pointer: 440905
 674.8, doc.freq 1, pointer: 440912
 675, doc.freq 5, pointer: 440919
 675,000, doc.freq 3, pointer: 440959
 675,500, doc.freq 1, pointer: 440981
 675,900, doc.freq 1, pointer: 440988
 676,000, doc.freq 3, pointer: 440995
 676,341, doc.freq 1, pointer: 441019
 677,000, doc.freq 1, pointer: 441026
 677,192, doc.freq 1, pointer: 441033
 677,498, doc.freq 1, pointer: 441041
 678,000, doc.freq 1, pointer: 441048
 678.7, doc.freq 1, pointer: 441055
 678.8, doc.freq 1, pointer: 441062
 679, doc.freq 1, pointer: 441069
 679,000, doc.freq 2, pointer: 441076
 679,520, doc.freq 1, pointer: 441093
 679.5, doc.freq 1, pointer: 441100
 68, doc.freq 44, pointer: 441108
 68,000, doc.freq 4, pointer: 441380
 68,004,000, doc.freq 1, pointer: 441407
 68,691, doc.freq 1, pointer: 441412
 68,895, doc.freq 1, pointer: 441420
 68-5/8, doc.freq 1, pointer: 441428
 68.0, doc.freq 2, pointer: 441435
 68.1, doc.freq 2, pointer: 441452
 68.2, doc.freq 5, pointer: 441471
 68.26, doc.freq 3, pointer: 441511
 68.3, doc.freq 4, pointer: 441537
 68.35, doc.freq 1, pointer: 441564
 68.45, doc.freq 1, pointer: 441571
 68.5, doc.freq 4, pointer: 441578
 68.6, doc.freq 3, pointer: 441606
 68.75, doc.freq 1, pointer: 441630
 68.8, doc.freq 6, pointer: 441637
 68.82, doc.freq 2, pointer: 441679
 68.9, doc.freq 1, pointer: 441696
 68.98, doc.freq 1, pointer: 441703
 680, doc.freq 3, pointer: 441710
 680,000, doc.freq 2, pointer: 441732
 681,000, doc.freq 1, pointer: 441749
 681,374, doc.freq 1, pointer: 441756
 681,800, doc.freq 1, pointer: 441763
 683,000, doc.freq 1, pointer: 441770
 683,400, doc.freq 1, pointer: 441777
 684, doc.freq 1, pointer: 441783
 684,000, doc.freq 1, pointer: 441790
 685,000, doc.freq 1, pointer: 441797
